[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/django/test/__init__.py first seen with mtime 1735748701.2948909
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.12/asyncio/timeouts.py first seen with mtime 1730917939.0
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/django/core/files/storage/filesystem.py first seen with mtime 1735748701.2388906
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.12/importlib/metadata/_adapters.py first seen with mtime 1730917939.0
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.12/fnmatch.py first seen with mtime 1730917939.0
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/rest_framework/urlpatterns.py first seen with mtime 1735748703.974904
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/Downloads/multi-lab/backend_server/ParametersAnalyse/views/microbiologie_produits_eaux.py first seen with mtime 1736849070.200126
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/markupsafe/_speedups.cpython-312-x86_64-linux-gnu.so first seen with mtime 1735748700.2078855
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/Downloads/multi-lab/backend_server/multi_lab/models/avis.py first seen with mtime 1736762188.0090613
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/rest_framework/mixins.py first seen with mtime 1735748703.971904
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/PIL/_typing.py first seen with mtime 1735748699.927884
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/django/contrib/admin/views/__init__.py first seen with mtime 1735748700.884889
[14/Jan/2025 14:48:06] DEBUG [django.utils.autoreload:394] File /home/nour/.local/share/virtualenvs/project_biopilate-oAoMj3mD/lib/python3.12/site-packages/psycopg2/_psycopg.cpython-312-x86_64-linux-gnu.so first seen with mtime 1735748699.8828838
